job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list,skill_single
数据分析师（寻找努力、优秀的BI同学）,互联网,上海市,60.0,Hive;SQL;Python,1-3年,本科,数据库;后端开发,hive;sql;python,hive,hive
数据分析师（寻找努力、优秀的BI同学）,互联网,上海市,60.0,Hive;SQL;Python,1-3年,本科,数据库;后端开发,hive;sql;python,sql,sql
数据分析师（寻找努力、优秀的BI同学）,互联网,上海市,60.0,Hive;SQL;Python,1-3年,本科,数据库;后端开发,hive;sql;python,python,python
数据分析师,电子商务,上海市,72.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,sql,sql
数据分析师,电子商务,上海市,72.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,python,python
数据分析师,计算机软件,上海市,39.0,SQL;电子商务,5-10年,本科,数据库;其他,sql;电子商务,sql,sql
数据分析师,计算机软件,上海市,39.0,SQL;电子商务,5-10年,本科,数据库;其他,sql;电子商务,电子商务,电子商务
数据分析师（SH）,互联网,上海市,45.5,SQL,3-5年,本科,数据库,sql,sql,sql
数据分析师/专家,电子商务,上海市,45.0,SQL,3-5年,本科,数据库,sql,sql,sql
数据分析师,互联网,上海市,25.8,Power BI,3-5年,本科,其他,power bi,power bi,power bi
数据分析师（信贷风控方向）,计算机软件,上海市,23.4,评分建模;风控策略;SQL;Python,1-3年,本科,其他;数据库;后端开发,评分建模;风控策略;sql;python,评分建模,评分建模
数据分析师（信贷风控方向）,计算机软件,上海市,23.4,评分建模;风控策略;SQL;Python,1-3年,本科,其他;数据库;后端开发,评分建模;风控策略;sql;python,风控策略,风控策略
数据分析师（信贷风控方向）,计算机软件,上海市,23.4,评分建模;风控策略;SQL;Python,1-3年,本科,其他;数据库;后端开发,评分建模;风控策略;sql;python,sql,sql
数据分析师（信贷风控方向）,计算机软件,上海市,23.4,评分建模;风控策略;SQL;Python,1-3年,本科,其他;数据库;后端开发,评分建模;风控策略;sql;python,python,python
数据分析师（金融行业）,银行,上海市,21.0,Power BI;Tableau;SQL,3-5年,本科,其他;大数据;数据库,power bi;tableau;sql,power bi,power bi
数据分析师（金融行业）,银行,上海市,21.0,Power BI;Tableau;SQL,3-5年,本科,其他;大数据;数据库,power bi;tableau;sql,tableau,tableau
数据分析师（金融行业）,银行,上海市,21.0,Power BI;Tableau;SQL,3-5年,本科,其他;大数据;数据库,power bi;tableau;sql,sql,sql
数据分析师（风控方向）,互联网金融,上海市,38.5,数据基建;风控策略;指标体系;SQL,3-5年,本科,其他;数据库,数据基建;风控策略;指标体系;sql,数据基建,数据基建
数据分析师（风控方向）,互联网金融,上海市,38.5,数据基建;风控策略;指标体系;SQL,3-5年,本科,其他;数据库,数据基建;风控策略;指标体系;sql,风控策略,风控策略
数据分析师（风控方向）,互联网金融,上海市,38.5,数据基建;风控策略;指标体系;SQL,3-5年,本科,其他;数据库,数据基建;风控策略;指标体系;sql,指标体系,指标体系
数据分析师（风控方向）,互联网金融,上海市,38.5,数据基建;风控策略;指标体系;SQL,3-5年,本科,其他;数据库,数据基建;风控策略;指标体系;sql,sql,sql
数据分析师（互金/风险方向）,互联网,上海市,35.0,SQL;Python;Tableau;Power BI;,3-5年,本科,其他;数据库;后端开发,sql;python;tableau;power bi;,sql,sql
数据分析师（互金/风险方向）,互联网,上海市,35.0,SQL;Python;Tableau;Power BI;,3-5年,本科,其他;数据库;后端开发,sql;python;tableau;power bi;,python,python
数据分析师（互金/风险方向）,互联网,上海市,35.0,SQL;Python;Tableau;Power BI;,3-5年,本科,其他;数据库;后端开发,sql;python;tableau;power bi;,tableau,tableau
数据分析师（互金/风险方向）,互联网,上海市,35.0,SQL;Python;Tableau;Power BI;,3-5年,本科,其他;数据库;后端开发,sql;python;tableau;power bi;,power bi,power bi
高级数据分析师,游戏,上海市,41.25,Python,5-10年,本科,后端开发,python,python,python
数据分析师-base南京总部,互联网,上海市,35.0,SQL;Python,1-3年,本科,数据库;后端开发,sql;python,sql,sql
数据分析师-base南京总部,互联网,上海市,35.0,SQL;Python,1-3年,本科,数据库;后端开发,sql;python,python,python
数据分析经理,互联网,上海市,120.0,SQL;Python;产品分析;商户分析,5-10年,硕士,其他;数据库;后端开发,sql;python;产品分析;商户分析,sql,sql
