job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list
数据分析师（寻找努力、优秀的BI同学）,互联网,上海市,60.0,Hive;SQL;Python,1-3年,本科,数据库;后端开发,hive;sql;python,"['hive', 'sql', 'python']"
数据分析师,电子商务,上海市,72.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,计算机软件,上海市,39.0,SQL;电子商务,5-10年,本科,数据库;其他,sql;电子商务,"['sql', '电子商务']"
数据分析师（SH）,互联网,上海市,45.5,SQL,3-5年,本科,数据库,sql,['sql']
数据分析师/专家,电子商务,上海市,45.0,SQL,3-5年,本科,数据库,sql,['sql']
数据分析师,互联网,上海市,25.8,Power BI,3-5年,本科,其他,power bi,['power bi']
数据分析师,智能硬件/消费电子,上海市,12.6,,1-3年,本科,,,['']
数据分析师（信贷风控方向）,计算机软件,上海市,23.4,评分建模;风控策略;SQL;Python,1-3年,本科,其他;数据库;后端开发,评分建模;风控策略;sql;python,"['评分建模', '风控策略', 'sql', 'python']"
数据分析师（金融行业）,银行,上海市,21.0,Power BI;Tableau;SQL,3-5年,本科,其他;大数据;数据库,power bi;tableau;sql,"['power bi', 'tableau', 'sql']"
数据分析师,学校/学历教育,上海市,30.0,,经验不限,本科,,,['']
数据分析师（风控方向）,互联网金融,上海市,38.5,数据基建;风控策略;指标体系;SQL,3-5年,本科,其他;数据库,数据基建;风控策略;指标体系;sql,"['数据基建', '风控策略', '指标体系', 'sql']"
数据分析师（互金/风险方向）,互联网,上海市,35.0,SQL;Python;Tableau;Power BI;,3-5年,本科,其他;数据库;后端开发,sql;python;tableau;power bi;,"['sql', 'python', 'tableau', 'power bi', '']"
高级数据分析师,游戏,上海市,41.25,Python,5-10年,本科,后端开发,python,['python']
数据分析师-base南京总部,互联网,上海市,35.0,SQL;Python,1-3年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析经理,互联网,上海市,120.0,SQL;Python;产品分析;商户分析,5-10年,硕士,其他;数据库;后端开发,sql;python;产品分析;商户分析,"['sql', 'python', '产品分析', '商户分析']"
高级数据分析师（建材）,房屋建筑工程,上海市,16.25,,5-10年,本科,,,['']
数据分析师(A96535),游戏,上海市,32.0,游戏;数据分析,1-3年,本科,游戏开发;大数据,游戏;数据分析,"['游戏', '数据分析']"
数据分析师,酒店/民宿,上海市,7.8,,经验不限,本科,,,['']
数据分析师,互联网,上海市,18.0,,3-5年,本科,,,['']
数据分析师,计算机软件,上海市,19.2,Ptyhon\R;具备统计分析基础;SQL,5-10年,本科,其他;数据库,ptyhon\r;具备统计分析基础;sql,"['ptyhon\\r', '具备统计分析基础', 'sql']"
中高级数据分析师（营收）,互联网,上海市,45.5,,3-5年,本科,,,['']
数据分析,互联网,上海市,80.0,Hive;SQL;Python,经验不限,不限,数据库;后端开发,hive;sql;python,"['hive', 'sql', 'python']"
数据分析师（金融）,通信/网络设备,上海市,33.0,互联网金融;消费分期;信用支付,3-5年,本科,其他,互联网金融;消费分期;信用支付,"['互联网金融', '消费分期', '信用支付']"
数据分析师-用增裁判,电子商务,上海市,42.0,,3-5年,本科,,,['']
高级数据分析师,人工智能,上海市,63.0,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,互联网,上海市,30.0,SAS,3-5年,本科,前端开发,sas,['sas']
数据分析师（模型开发）,互联网金融,上海市,36.0,,3-5年,本科,,,['']
搜推数据分析师,互联网,上海市,52.0,SQL,3-5年,本科,数据库,sql,['sql']
数据分析师（BA）,计算机软件,上海市,56.25,,5-10年,本科,,,['']
数据分析师（金融行业）,移动互联网,上海市,31.5,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,通信/网络设备,上海市,21.0,贷后,1-3年,本科,其他,贷后,['贷后']
数据分析师,物流/仓储,上海市,36.0,,3-5年,本科,,,['']
数据分析师（贷后）,互联网,上海市,42.0,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,计算机软件,上海市,11.4,Azure;Excel;Power BI;SQL,1-3年,本科,其他;运维/DevOps;数据库,azure;excel;power bi;sql,"['azure', 'excel', 'power bi', 'sql']"
数据分析师,汽车后市场,上海市,26.25,Tableau,3-5年,本科,大数据,tableau,['tableau']
中级数据分析师,计算机软件,上海市,33.8,Hive;abtest;Hadoop;Tableau;MATLAB;SQL,1-3年,本科,数据库;其他;大数据,hive;abtest;hadoop;tableau;matlab;sql,"['hive', 'abtest', 'hadoop', 'tableau', 'matlab', 'sql']"
数据分析师（埋点）,计算机服务,上海市,33.6,SQL;英文流利;数据采集;埋点设计;消费者行为洞察,5-10年,本科,其他;数据库,sql;英文流利;数据采集;埋点设计;消费者行为洞察,"['sql', '英文流利', '数据采集', '埋点设计', '消费者行为洞察']"
数据分析师,游戏,上海市,30.0,,1-3年,本科,,,['']
数据分析师（上海电力行业）,大数据,上海市,24.0,分析报告;电力;营销,3-5年,本科,其他,分析报告;电力;营销,"['分析报告', '电力', '营销']"
数据分析师,公路物流,上海市,8.4,,1-3年,大专,,,['']
